Feature,Importance
"cat__Lat Long_37.808731, -122.238708",0.0001079689067403275
"cat__Lat Long_37.750021, -122.415201",0.00010745970753547201
"cat__Lat Long_36.303793, -119.375646",0.00010739893358835462
"cat__Lat Long_33.889605, -115.257009",0.00010719823897260697
cat__City_Emigrant Gap,0.00010703531478258817
cat__City_San Rafael,0.00010671273357919526
"cat__Lat Long_34.866032, -120.536546",0.00010662431346720407
"cat__Lat Long_37.83726, -122.287648",0.00010619524178691641
"cat__Lat Long_33.309852, -116.823091",0.00010602985236981836
"cat__Lat Long_35.059695, -120.604741",0.00010602366601876909
"cat__Lat Long_40.267158, -123.805913",0.00010544717535131711
"cat__Lat Long_33.75462, -118.071128",0.00010510349711386972
"cat__Lat Long_34.070291, -118.349191",0.00010465551622864025
"cat__Lat Long_37.80821, -121.308401",0.0001046045067371875
"cat__Lat Long_37.42765, -121.945416",0.00010445263235402762
cat__City_Lone Pine,0.00010424333309429208
cat__City_Elverta,0.0001038349677485644
cat__City_Richmond,0.00010380213630301723
"cat__Lat Long_38.128087, -121.4078",0.00010354356463533622
"cat__Lat Long_34.145695, -117.95982",0.00010339443267946952
"cat__Lat Long_36.590415, -118.073839",0.00010332374958915737
cat__City_Roseville,0.00010323770293177926
"cat__Lat Long_34.066367, -118.309868",0.00010306528407144188
cat__City_Bradley,0.00010305076085285703
"cat__Lat Long_34.296574, -118.244839",0.00010302680353389862
"cat__Lat Long_34.183286, -117.221722",0.0001025089199473264
"cat__Lat Long_34.030915, -117.273201",0.00010233245744060312
"cat__Lat Long_37.556634, -122.317723",0.0001022451010514062
"cat__Lat Long_34.088017, -118.327168",0.00010221063115145467
cat__City_El Cajon,0.00010206311138085098
cat__City_North Hills,0.00010176668410595576
cat__City_Avenal,0.00010173446057733221
"cat__Lat Long_36.175255, -119.813805",0.00010169259424695115
cat__City_Atascadero,0.00010146707908427556
cat__City_Redwood City,0.00010122096632709481
"cat__Lat Long_34.321621, -118.399841",0.00010088918071522442
cat__City_Malibu,0.0001008266861192703
cat__City_Redlands,0.00010040167380661957
cat__City_Visalia,0.00010035035626149299
cat__City_Clayton,0.00010030265855277888
cat__City_Jamul,0.00010014751598388375
cat__City_Desert Hot Springs,0.00010011884458895885
cat__City_Penryn,9.994742027728597e-05
cat__City_Ferndale,9.982104374756433e-05
cat__City_Oxnard,9.964689626569031e-05
"cat__Lat Long_38.035707, -122.196821",9.963818274193503e-05
"cat__Lat Long_34.141146, -117.655583",9.913101487446763e-05
"cat__Lat Long_32.578103, -117.012975",9.894088296023815e-05
"cat__Lat Long_38.313447, -121.123886",9.866232606909443e-05
"cat__Lat Long_34.031529, -118.491156",9.865085941312472e-05
cat__City_Sylmar,9.862418575776834e-05
"cat__Lat Long_33.998471, -117.973758",9.837225459970221e-05
cat__City_West Covina,9.833035898664122e-05
"cat__Lat Long_33.930199, -117.862898",9.83044655206956e-05
"cat__Lat Long_35.236549, -120.727344",9.826424520592004e-05
cat__City_Grizzly Flats,9.782679331106893e-05
"cat__Lat Long_34.062095, -118.401508",9.782546789566972e-05
cat__City_North Palm Springs,9.754875420662503e-05
cat__City_Santa Clara,9.71573401693556e-05
cat__City_Trinity Center,9.699226128420125e-05
"cat__Lat Long_33.906496, -116.569499",9.693042604856796e-05
"cat__Lat Long_33.887676, -118.127289",9.670124479322604e-05
"cat__Lat Long_34.110124, -119.100972",9.66300992057862e-05
"cat__Lat Long_37.306612, -122.080621",9.64223726898628e-05
"cat__Lat Long_34.018354, -117.85492",9.563390162107973e-05
"cat__Lat Long_35.772244, -119.209689",9.555216343513891e-05
"cat__Lat Long_35.809921, -119.127437",9.542180126839717e-05
cat__City_Canoga Park,9.53622687447281e-05
"cat__Lat Long_37.311088, -121.961786",9.509738475068124e-05
"cat__Lat Long_37.990118, -122.012188",9.4986985141182e-05
"cat__Lat Long_37.505768, -121.962472",9.496502405322997e-05
"cat__Lat Long_34.129058, -118.759788",9.427403485022107e-05
cat__City_Oceano,9.42647320414047e-05
"cat__Lat Long_34.099869, -118.326843",9.408858955318397e-05
cat__City_Guatay,9.360006663041306e-05
"cat__Lat Long_33.313828, -116.940501",9.29676164072802e-05
cat__City_Waterford,9.292594738187475e-05
cat__City_Nipomo,9.240488606292681e-05
cat__City_Alpaugh,9.223821786291776e-05
cat__City_Desert Center,9.223020119681678e-05
"cat__Lat Long_34.727529, -118.153098",9.199071823331881e-05
cat__City_Acampo,9.198435447436827e-05
"cat__Lat Long_33.290907, -117.202895",9.191527916083712e-05
cat__City_Hacienda Heights,9.188009002324603e-05
"cat__Lat Long_34.157137, -118.548511",9.187932360805998e-05
"cat__Lat Long_39.068071, -121.832638",9.168898822740576e-05
cat__City_La Puente,9.162219886249209e-05
"cat__Lat Long_33.936291, -118.332639",9.156521274893812e-05
cat__City_Compton,9.137236113994243e-05
cat__City_San Gabriel,9.134291211249925e-05
cat__City_Garden Grove,9.126649236679529e-05
cat__City_Downey,9.123263605780621e-05
"cat__Lat Long_38.055562, -120.456298",9.11660179465432e-05
"cat__Lat Long_40.4785, -124.301372",9.106063229307938e-05
"cat__Lat Long_36.696759, -119.024051",9.054008478219052e-05
"cat__Lat Long_37.387027, -121.897775",9.026580909816906e-05
"cat__Lat Long_38.542448, -122.419923",9.021361072764243e-05
"cat__Lat Long_38.53508, -121.444144",9.008610224253007e-05
"cat__Lat Long_34.078991, -118.263804",8.989540855415242e-05
cat__City_Stratford,8.979356168120406e-05
"cat__Lat Long_33.972293, -116.654195",8.978461359415683e-05
"cat__Lat Long_38.859093, -121.182872",8.967992282474797e-05
"cat__Lat Long_38.468893, -122.580539",8.934823869334861e-05
